n s 0.02772273451327434
t r 0.09078135849056602
t s 0.009424858407079646
s o 0.24449565853658536
i e 0.18608831683168317
s r 0.0018907622641509433
r a 0.1861000168776371
n d 0.09622583966244726
e t 0.07700988413098236
o n 0.2911889014084508
h n 0.003528535211267606
t n 0.007057070422535212
o h 0.012128107526881721
t o 0.4003506341463415
i a 0.05921448101265823
e i 0.1126205393258427
n i 0.19428948314606742
e s 0.06542216814159292
a e 0.06698312871287129
a n 0.36884749295774655
h a 0.1046824135021097
n h 0.008081483870967743
d a 0.0993924388185654
d s 0.0027737256637168145
e d 0.1469745147679325
o t 0.06501721914357683
r d 0.03701135864978903
d e 0.5235385742574258
h e 0.3746679207920792
r i 0.39420876404494387
i n 0.37060405633802823
d h 0.02290341935483871
d d 0.045467932489451475
a a 0.008456573839662447
n e 0.4912818217821782
a h 0.041771978494623656
e e 0.24068
r h 0.016162967741935486
h t 0.0006338035264483627
a t 0.11614587405541561
h h 0.0026938279569892476
i i 0.016889393258426966
n a 0.1268855358649789
n o 0.2842265365853659
s d 0.002114143459915612
h i 0.22806826966292137
r e 0.6550352079207921
i o 0.17114429268292686
d i 0.23932786516853935
r r 0.04539480754716981
i d 0.10573486919831222
t t 0.03534970277078086
r s 0.022175283185840708
i t 0.06312131989924433
t h 0.19670825806451614
n r 0.0037815245283018867
h r 0.01891587924528302
i s 0.06653069026548672
h s 0.0011085221238938054
a r 0.24114236981132073
e n 0.363546985915493
i h 0.008081483870967743
i r 0.08416781886792453
t i 0.3716895730337079
o e 0.06451350495049506
n n 0.08647222535211269
n t 0.07638159193954659
t d 0.0010616877637130802
a s 0.07540370796460177
d n 0.007057070422535212
a i 0.25624184269662925
a d 0.1268855358649789
o a 0.052872050632911394
e a 0.1321755105485232
e h 0.018856795698924733
o r 0.15225177358490566
o d 0.07612762869198311
a o 0.045841268292682924
d r 0.02552941886792453
o s 0.05100653982300885
t a 0.20196070886075948
s e 0.5210472871287128
r o 0.4278607317073171
h o 0.33922004878048784
s i 0.32099680898876404
r n 0.08647222535211269
s h 0.1953554623655914
h d 0.002114143459915612
s t 0.1363449168765743
r t 0.046714075566750626
o o 0.2353167317073171
e r 0.3546211320754717
t e 0.7691794851485149
e o 0.042772731707317074
s n 0.06177247887323945
d o 0.29644731707317074
s a 0.1078582447257384
s s 0.03603907079646018
d t 0.001262095717884131
o i 0.1182503370786517
